location,geo_code
Sherman TX-Ada OK,US-TX-657
Shreveport LA,US-LA-612
Sioux City IA,US-IA-624
Sioux Falls(Mitchell) SD,US-SD-725
South Bend-Elkhart IN,US-IN-588
Spokane WA,US-WA-881
Springfield-Holyoke MA,US-MA-543
Springfield MO,US-MO-619
St. Joseph MO,US-MO-638
St. Louis MO,US-MO-609
Syracuse NY,US-NY-555
Tallahassee FL-Thomasville GA,US-FL-530
Tampa-St. Petersburg (Sarasota) FL,US-FL-539
Terre Haute IN,US-IN-581
Toledo OH,US-OH-547
Topeka KS,US-KS-605
Traverse City-Cadillac MI,US-MI-540
Tri-Cities TN-VA,US-TN-531
Tucson (Sierra Vista) AZ,US-AZ-789
Tulsa OK,US-OK-671
Twin Falls ID,US-ID-760
Tyler-Longview(Lufkin & Nacogdoches) TX,US-TX-709
Utica NY,US-NY-526
Victoria TX,US-TX-626
Waco-Temple-Bryan TX,US-TX-625
Washington DC (Hagerstown MD),US-DC-511
Watertown NY,US-NY-549
Wausau-Rhinelander WI,US-WI-705
West Palm Beach-Ft. Pierce FL,US-FL-548
Wheeling WV-Steubenville OH,US-WV-554
Wichita-Hutchinson KS,US-KS-678
Wichita Falls TX & Lawton OK,US-TX-627
Wilkes Barre-Scranton PA,US-PA-577
Wilmington NC,US-NC-550
Yakima-Pasco-Richland-Kennewick WA,US-WA-810
Youngstown OH,US-OH-536
Yuma AZ-El Centro CA,US-AZ-771
Zanesville OH,US-OH-596
