location,DMA,geo_code
Greensboro-High Point-Winston Salem NC,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ,US-NC-518
Greenville-New Bern-Washington NC,GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC)                    ,US-NC-545
Greenville-Spartanburg SC-Asheville NC-Anderson SC,GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ,US-SC-567
Greenwood-Greenville MS,GREENWOOD (MS) - GREENVILLE (MS)                                     ,US-MS-647
Harlingen-Weslaco-Brownsville-McAllen TX,HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)      ,US-TX-636
Harrisburg-Lancaster-Lebanon-York PA,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,US-PA-566
Harrisonburg VA,HARRISONBURG (VA)                                                    ,US-VA-569
Hartford & New Haven CT,HARTFORD (CT) - NEW HAVEN (CT)                                       ,US-CT-533
Hattiesburg-Laurel MS,HATTIESBURG (MS) - LAUREL (MS)                                       ,US-MS-710
Helena MT,HELENA (MT)                                                          ,US-MT-766
Honolulu HI,HONOLULU (HI)                                                        ,US-HI-744
Houston TX,HOUSTON (TX)                                                         ,US-TX-618
Huntsville-Decatur (Florence) AL,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,US-AL-691
Idaho Falls-Pocatello ID,IDAHO FALLS (ID) - POCATELLO (ID)                                    ,US-ID-758
Indianapolis IN,INDIANAPOLIS (IN)                                                    ,US-IN-527
Jackson MS,JACKSON (MS)                                                         ,US-MS-718
Jackson TN,JACKSON (TN)                                                         ,US-TN-639
Jacksonville FL,JACKSONVILLE (FL)                                                    ,US-FL-561
Johnstown-Altoona PA,JOHNSTOWN (PA) - ALTOONA (PA)                                        ,US-PA-574
Jonesboro AR,JONESBORO (AR)                                                       ,US-AR-734
Joplin MO-Pittsburg KS,JOPLIN (MO) - PITTSBURG (KS)                                         ,US-MO-603
Juneau AK,JUNEAU (AK)                                                          ,US-AK-747
Kansas City MO,KANSAS CITY (MO)                                                     ,US-MO-616
Knoxville TN,KNOXVILLE (TN)                                                       ,US-TN-557
La Crosse-Eau Claire WI,LA CROSSE (WI) - EAU CLAIRE (WI)                                     ,US-WI-702
Lafayette IN,LAFAYETTE (IN)                                                       ,US-IN-582
Lafayette LA,LAFAYETTE (LA)                                                       ,US-LA-642
Lake Charles LA,LAKE CHARLES (LA)                                                    ,US-LA-643
Lansing MI,LANSING (MI)                                                         ,US-MI-551
Laredo TX,LAREDO (TX)                                                          ,US-TX-749
Las Vegas NV,LAS VEGAS (NV)                                                       ,US-NV-839
Lexington KY,LEXINGTON (KY)                                                       ,US-KY-541
Lima OH,LIMA (OH)                                                            ,US-OH-558
Lincoln & Hastings-Kearney NE,LINCOLN (NE) - HASTINGS (NE) - KEARNEY (NE)                          ,US-NE-722
Little Rock-Pine Bluff AR,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,US-AR-693
Los Angeles CA,LOS ANGELES (CA)                                                     ,US-CA-803
Louisville KY,LOUISVILLE (KY)                                                      ,US-KY-529
Lubbock TX,LUBBOCK (TX)                                                         ,US-TX-651
Macon GA,MACON (GA)                                                           ,US-GA-503
Madison WI,MADISON (WI)                                                         ,US-WI-669
Mankato MN,MANKATO (MN)                                                         ,US-MN-737
Marquette MI,MARQUETTE (MI)                                                       ,US-MI-553
Medford-Klamath Falls OR,MEDFORD (OR) - KLAMATH FALLS (OR)                                    ,US-OR-813
Memphis TN,MEMPHIS (TN)                                                         ,US-TN-640
Meridian MS,MERIDIAN (MS)                                                        ,US-MS-711
Miami-Ft. Lauderdale FL,MIAMI (FL) - FT. LAUDERDALE (FL)                                     ,US-FL-528
Milwaukee WI,MILWAUKEE (WI)                                                       ,US-WI-617
Minneapolis-St. Paul MN,MINNEAPOLIS (MN) - ST. PAUL (MN)                                     ,US-MN-613
Minot-Bismarck-Dickinson(Williston) ND,MINOT (ND) - BISMARCK (ND) - DICKINSON (ND)                          ,US-ND-687
Missoula MT,MISSOULA (MT)                                                        ,US-MT-762
Mobile AL-Pensacola (Ft. Walton Beach) FL,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,US-AL-686
Monroe LA-El Dorado AR,MONROE (LA) - EL DORADO (AR)                                         ,US-LA-628
Monterey-Salinas CA,MONTEREY (CA) - SALINAS (CA)                                         ,US-CA-828
Montgomery (Selma) AL,MONTGOMERY (AL) - SELMA (AL)                                         ,US-AL-698
Nashville TN,NASHVILLE (TN)                                                       ,US-TN-659
New Orleans LA,NEW ORLEANS (LA)                                                     ,US-LA-622
New York NY,NEW YORK (NY)                                                        ,US-NY-501
