"geo_code","date","hits","geo","time","keyword","gprop","category","Inflation.Factor","hits.adj"
"US-AK-743",2020-02-19,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-20,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-21,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-22,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-23,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-24,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-25,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-26,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-27,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-28,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-02-29,24,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,14.503283935981
"US-AK-743",2020-03-01,25,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,15.1075874333136
"US-AK-743",2020-03-02,20,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,12.0860699466509
"US-AK-743",2020-03-03,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-03-04,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-03-05,21,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,12.6903734439834
"US-AK-743",2020-03-06,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-03-07,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-03-08,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-03-09,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-03-10,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-03-11,22,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,13.2946769413159
"US-AK-743",2020-03-12,20,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,12.0860699466509
"US-AK-743",2020-03-13,31,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,18.7334084173088
"US-AK-743",2020-03-14,23,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,13.8989804386485
"US-AK-743",2020-03-15,47,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,28.4022643746295
"US-AK-743",2020-03-16,61,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,36.8625133372851
"US-AK-743",2020-03-17,69,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,41.6969413159455
"US-AK-743",2020-03-18,59,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,35.65390634262
"US-AK-743",2020-03-19,29,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,17.5248014226437
"US-AK-743",2020-03-20,57,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,34.445299347955
"US-AK-743",2020-03-21,40,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,24.1721398933017
"US-AK-743",2020-03-22,51,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,30.8194783639597
"US-AK-743",2020-03-23,99,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,59.8260462359218
"US-AK-743",2020-03-24,28,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,16.9204979253112
"US-AK-743",2020-03-25,100,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,60.4303497332543
"US-AK-743",2020-03-26,37,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,22.3592294013041
"US-AK-743",2020-03-27,53,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,32.0280853586248
"US-AK-743",2020-03-28,58,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,35.0496028452875
"US-AK-743",2020-03-29,40,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,24.1721398933017
"US-AK-743",2020-03-30,26,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,15.7118909306461
"US-AK-743",2020-03-31,88,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,53.1787077652638
"US-AK-743",2020-04-01,34,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,20.5463189093065
"US-AK-743",2020-04-02,27,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,16.3161944279787
"US-AK-743",2020-04-03,36,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,21.7549259039715
"US-AK-743",2020-04-04,29,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,17.5248014226437
"US-AK-743",2020-04-05,20,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,12.0860699466509
"US-AK-743",2020-04-06,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
"US-AK-743",2020-04-07,18,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,10.8774629519858
"US-AK-743",2020-04-08,35,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,21.150622406639
"US-AK-743",2020-04-09,26,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,15.7118909306461
"US-AK-743",2020-04-10,36,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,21.7549259039715
"US-AK-743",2020-04-11,41,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,24.7764433906343
"US-AK-743",2020-04-12,20,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,12.0860699466509
"US-AK-743",2020-04-13,52,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,31.4237818612922
"US-AK-743",2020-04-14,25,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,15.1075874333136
"US-AK-743",2020-04-15,33,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,19.9420154119739
"US-AK-743",2020-04-16,16,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,9.66885595732069
"US-AK-743",2020-04-17,0,20542,"2020-01-01 2020-04-30","covid symptoms","web",0,0.604303497332543,0
