"","id","w_retail_and_recreation_percent_change_from_baseline","w_grocery_and_pharmacy_percent_change_from_baseline","w_workplaces_percent_change_from_baseline"
"1","20200215_MONTGOMERY (AL) - SELMA (AL)",5.67275793571206,1.85270383631357,0.786952662154314
"2","20200216_MONTGOMERY (AL) - SELMA (AL)",-3.04091637614255,-2.63403902062997,-3.6892441257157
"3","20200217_MONTGOMERY (AL) - SELMA (AL)",1.30027476297092,-0.425537896205861,-22.2325394992687
"4","20200218_MONTGOMERY (AL) - SELMA (AL)",-2.36818070769035,-2.90301636864422,0.62166209843944
"5","20200219_MONTGOMERY (AL) - SELMA (AL)",1.16162153659769,-0.912818813733463,0.107656214964375
"6","20200220_MONTGOMERY (AL) - SELMA (AL)",-8.37812204027403,-7.69108074550791,-0.255405735551517
"7","20200221_MONTGOMERY (AL) - SELMA (AL)",1.64106284073453,-4.80157829740665,1.63107130785166
"8","20200222_MONTGOMERY (AL) - SELMA (AL)",2.75270325957763,-0.710983662946527,9.5305171754187
"9","20200223_MONTGOMERY (AL) - SELMA (AL)",2.02136894767852,0.197951823231515,0.725630930852181
"10","20200224_MONTGOMERY (AL) - SELMA (AL)",-4.83075296209136,-6.78304106911149,1.66506826688281
"11","20200225_MONTGOMERY (AL) - SELMA (AL)",8.08296750639417,-2.15490741655229,2.56876751797348
"12","20200226_MONTGOMERY (AL) - SELMA (AL)",21.2700977771118,4.64803475157257,1.89324891784475
"13","20200227_MONTGOMERY (AL) - SELMA (AL)",18.685172003937,6.89150180330828,1.71807599437381
"14","20200228_MONTGOMERY (AL) - SELMA (AL)",16.6152833137552,6.78960050601902,0.922827080049397
"15","20200229_MONTGOMERY (AL) - SELMA (AL)",23.8204150163302,9.76584918961812,4.18290949628838
"16","20200301_MONTGOMERY (AL) - SELMA (AL)",31.1287398638409,14.4594468492339,2.34128105839495
"17","20200302_MONTGOMERY (AL) - SELMA (AL)",13.0352726418211,4.6955491150337,2.42387280461265
"18","20200303_MONTGOMERY (AL) - SELMA (AL)",22.8472841394013,10.9651803137995,0.57099483358138
"19","20200304_MONTGOMERY (AL) - SELMA (AL)",6.02095004887153,-5.35664124893147,-1.29655310989793
"20","20200305_MONTGOMERY (AL) - SELMA (AL)",11.0270887895187,7.32133114461545,1.37817537215583
