"","Group.1","Date","DMA","Total_Cases","Total_Deaths","CaseLagDay-1","NewCasesPerDay","DeathLagDay-1","NewDeathsPerDay","CaseLagDay-2","CaseLagDay-3","CaseLagDay-4","CaseLagDay-5","CaseLagDay-6","CaseLagDay-7","CaseLagDay-8","CaseLagDay-9","CaseLagDay-10","CaseLagDay-11","CaseLagDay-12","CaseLagDay-13","CaseLagDay-14","CaseLagDay+1","CaseLagDay+2","CaseLagDay+3","CaseLagDay+4","CaseLagDay+5","CaseLagDay+6","CaseLagDay+7","CaseLagDay+8","CaseLagDay+9","CaseLagDay+10","CaseLagDay+11","CaseLagDay+12","CaseLagDay+13","CaseLagDay+14"
"1","20200320_ABILENE (TX) - SWEETWATER (TX)",20200320,"ABILENE (TX) - SWEETWATER (TX)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,5,6,8,13,13,17,20,20,25
"2","20200321_ABILENE (TX) - SWEETWATER (TX)",20200321,"ABILENE (TX) - SWEETWATER (TX)",2,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,5,6,8,13,13,17,20,20,25,30
"3","20200322_ABILENE (TX) - SWEETWATER (TX)",20200322,"ABILENE (TX) - SWEETWATER (TX)",2,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,6,8,13,13,17,20,20,25,30,35
"4","20200323_ABILENE (TX) - SWEETWATER (TX)",20200323,"ABILENE (TX) - SWEETWATER (TX)",2,0,2,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,6,8,13,13,17,20,20,25,30,35,35
"5","20200324_ABILENE (TX) - SWEETWATER (TX)",20200324,"ABILENE (TX) - SWEETWATER (TX)",2,0,2,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,8,13,13,17,20,20,25,30,35,35,43
"6","20200325_ABILENE (TX) - SWEETWATER (TX)",20200325,"ABILENE (TX) - SWEETWATER (TX)",4,0,2,2,0,0,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,8,13,13,17,20,20,25,30,35,35,43,44
"7","20200326_ABILENE (TX) - SWEETWATER (TX)",20200326,"ABILENE (TX) - SWEETWATER (TX)",5,0,4,1,0,0,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,6,8,13,13,17,20,20,25,30,35,35,43,44,47
"8","20200327_ABILENE (TX) - SWEETWATER (TX)",20200327,"ABILENE (TX) - SWEETWATER (TX)",6,0,5,1,0,0,4,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,8,13,13,17,20,20,25,30,35,35,43,44,47,69
"9","20200328_ABILENE (TX) - SWEETWATER (TX)",20200328,"ABILENE (TX) - SWEETWATER (TX)",8,0,6,2,0,0,5,4,2,2,2,2,1,NA,NA,NA,NA,NA,NA,13,13,17,20,20,25,30,35,35,43,44,47,69,76
"10","20200329_ABILENE (TX) - SWEETWATER (TX)",20200329,"ABILENE (TX) - SWEETWATER (TX)",13,0,8,5,0,0,6,5,4,2,2,2,2,1,NA,NA,NA,NA,NA,13,17,20,20,25,30,35,35,43,44,47,69,76,80
"11","20200330_ABILENE (TX) - SWEETWATER (TX)",20200330,"ABILENE (TX) - SWEETWATER (TX)",13,0,13,0,0,0,8,6,5,4,2,2,2,2,1,NA,NA,NA,NA,17,20,20,25,30,35,35,43,44,47,69,76,80,89
"12","20200331_ABILENE (TX) - SWEETWATER (TX)",20200331,"ABILENE (TX) - SWEETWATER (TX)",17,0,13,4,0,0,13,8,6,5,4,2,2,2,2,1,NA,NA,NA,20,20,25,30,35,35,43,44,47,69,76,80,89,96
"13","20200401_ABILENE (TX) - SWEETWATER (TX)",20200401,"ABILENE (TX) - SWEETWATER (TX)",20,0,17,3,0,0,13,13,8,6,5,4,2,2,2,2,1,NA,NA,20,25,30,35,35,43,44,47,69,76,80,89,96,96
"14","20200402_ABILENE (TX) - SWEETWATER (TX)",20200402,"ABILENE (TX) - SWEETWATER (TX)",20,0,20,0,0,0,17,13,13,8,6,5,4,2,2,2,2,1,NA,25,30,35,35,43,44,47,69,76,80,89,96,96,103
"15","20200403_ABILENE (TX) - SWEETWATER (TX)",20200403,"ABILENE (TX) - SWEETWATER (TX)",25,0,20,5,0,0,20,17,13,13,8,6,5,4,2,2,2,2,1,30,35,35,43,44,47,69,76,80,89,96,96,103,113
"16","20200404_ABILENE (TX) - SWEETWATER (TX)",20200404,"ABILENE (TX) - SWEETWATER (TX)",30,1,25,5,0,1,20,20,17,13,13,8,6,5,4,2,2,2,2,35,35,43,44,47,69,76,80,89,96,96,103,113,166
"17","20200405_ABILENE (TX) - SWEETWATER (TX)",20200405,"ABILENE (TX) - SWEETWATER (TX)",35,1,30,5,1,0,25,20,20,17,13,13,8,6,5,4,2,2,2,35,43,44,47,69,76,80,89,96,96,103,113,166,167
"18","20200406_ABILENE (TX) - SWEETWATER (TX)",20200406,"ABILENE (TX) - SWEETWATER (TX)",35,1,35,0,1,0,30,25,20,20,17,13,13,8,6,5,4,2,2,43,44,47,69,76,80,89,96,96,103,113,166,167,169
"19","20200407_ABILENE (TX) - SWEETWATER (TX)",20200407,"ABILENE (TX) - SWEETWATER (TX)",43,1,35,8,1,0,35,30,25,20,20,17,13,13,8,6,5,4,2,44,47,69,76,80,89,96,96,103,113,166,167,169,189
"20","20200408_ABILENE (TX) - SWEETWATER (TX)",20200408,"ABILENE (TX) - SWEETWATER (TX)",44,1,43,1,1,0,35,35,30,25,20,20,17,13,13,8,6,5,4,47,69,76,80,89,96,96,103,113,166,167,169,189,NA
"21","20200409_ABILENE (TX) - SWEETWATER (TX)",20200409,"ABILENE (TX) - SWEETWATER (TX)",47,1,44,3,1,0,43,35,35,30,25,20,20,17,13,13,8,6,5,69,76,80,89,96,96,103,113,166,167,169,189,NA,NA
"22","20200410_ABILENE (TX) - SWEETWATER (TX)",20200410,"ABILENE (TX) - SWEETWATER (TX)",69,1,47,22,1,0,44,43,35,35,30,25,20,20,17,13,13,8,6,76,80,89,96,96,103,113,166,167,169,189,NA,NA,NA
"23","20200411_ABILENE (TX) - SWEETWATER (TX)",20200411,"ABILENE (TX) - SWEETWATER (TX)",76,1,69,7,1,0,47,44,43,35,35,30,25,20,20,17,13,13,8,80,89,96,96,103,113,166,167,169,189,NA,NA,NA,NA
"24","20200412_ABILENE (TX) - SWEETWATER (TX)",20200412,"ABILENE (TX) - SWEETWATER (TX)",80,1,76,4,1,0,69,47,44,43,35,35,30,25,20,20,17,13,13,89,96,96,103,113,166,167,169,189,NA,NA,NA,NA,NA
"25","20200413_ABILENE (TX) - SWEETWATER (TX)",20200413,"ABILENE (TX) - SWEETWATER (TX)",89,2,80,9,1,1,76,69,47,44,43,35,35,30,25,20,20,17,13,96,96,103,113,166,167,169,189,NA,NA,NA,NA,NA,NA
"26","20200414_ABILENE (TX) - SWEETWATER (TX)",20200414,"ABILENE (TX) - SWEETWATER (TX)",96,2,89,7,2,0,80,76,69,47,44,43,35,35,30,25,20,20,17,96,103,113,166,167,169,189,NA,NA,NA,NA,NA,NA,NA
"27","20200415_ABILENE (TX) - SWEETWATER (TX)",20200415,"ABILENE (TX) - SWEETWATER (TX)",96,3,96,0,2,1,89,80,76,69,47,44,43,35,35,30,25,20,20,103,113,166,167,169,189,NA,NA,NA,NA,NA,NA,NA,NA
"28","20200416_ABILENE (TX) - SWEETWATER (TX)",20200416,"ABILENE (TX) - SWEETWATER (TX)",103,3,96,7,3,0,96,89,80,76,69,47,44,43,35,35,30,25,20,113,166,167,169,189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20200417_ABILENE (TX) - SWEETWATER (TX)",20200417,"ABILENE (TX) - SWEETWATER (TX)",113,3,103,10,3,0,96,96,89,80,76,69,47,44,43,35,35,30,25,166,167,169,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","20200418_ABILENE (TX) - SWEETWATER (TX)",20200418,"ABILENE (TX) - SWEETWATER (TX)",166,3,113,53,3,0,103,96,96,89,80,76,69,47,44,43,35,35,30,167,169,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","20200419_ABILENE (TX) - SWEETWATER (TX)",20200419,"ABILENE (TX) - SWEETWATER (TX)",167,3,166,1,3,0,113,103,96,96,89,80,76,69,47,44,43,35,35,169,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","20200420_ABILENE (TX) - SWEETWATER (TX)",20200420,"ABILENE (TX) - SWEETWATER (TX)",169,3,167,2,3,0,166,113,103,96,96,89,80,76,69,47,44,43,35,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","20200421_ABILENE (TX) - SWEETWATER (TX)",20200421,"ABILENE (TX) - SWEETWATER (TX)",189,4,169,20,3,1,167,166,113,103,96,96,89,80,76,69,47,44,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","20200311_ALBANY (GA)",20200311,"ALBANY (GA)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,8,8,8,9,26,64,68,76,97,152,179
"35","20200312_ALBANY (GA)",20200312,"ALBANY (GA)",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,8,8,9,26,64,68,76,97,152,179,240
"36","20200313_ALBANY (GA)",20200313,"ALBANY (GA)",1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,8,8,9,26,64,68,76,97,152,179,240,302
"37","20200314_ALBANY (GA)",20200314,"ALBANY (GA)",1,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,9,26,64,68,76,97,152,179,240,302,338
"38","20200315_ALBANY (GA)",20200315,"ALBANY (GA)",8,0,1,7,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,9,26,64,68,76,97,152,179,240,302,338,371
"39","20200316_ALBANY (GA)",20200316,"ALBANY (GA)",8,0,8,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,26,64,68,76,97,152,179,240,302,338,371,432
"40","20200317_ALBANY (GA)",20200317,"ALBANY (GA)",8,0,8,0,0,0,8,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,9,26,64,68,76,97,152,179,240,302,338,371,432,750
"41","20200318_ALBANY (GA)",20200318,"ALBANY (GA)",9,2,8,1,0,2,8,8,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,26,64,68,76,97,152,179,240,302,338,371,432,750,806
"42","20200319_ALBANY (GA)",20200319,"ALBANY (GA)",26,4,9,17,2,2,8,8,8,1,1,1,1,NA,NA,NA,NA,NA,NA,64,68,76,97,152,179,240,302,338,371,432,750,806,859
"43","20200320_ALBANY (GA)",20200320,"ALBANY (GA)",64,6,26,38,4,2,9,8,8,8,1,1,1,1,NA,NA,NA,NA,NA,68,76,97,152,179,240,302,338,371,432,750,806,859,1016
"44","20200321_ALBANY (GA)",20200321,"ALBANY (GA)",68,6,64,4,6,0,26,9,8,8,8,1,1,1,1,NA,NA,NA,NA,76,97,152,179,240,302,338,371,432,750,806,859,1016,1137
"45","20200322_ALBANY (GA)",20200322,"ALBANY (GA)",76,6,68,8,6,0,64,26,9,8,8,8,1,1,1,1,NA,NA,NA,97,152,179,240,302,338,371,432,750,806,859,1016,1137,1153
"46","20200323_ALBANY (GA)",20200323,"ALBANY (GA)",97,6,76,21,6,0,68,64,26,9,8,8,8,1,1,1,1,NA,NA,152,179,240,302,338,371,432,750,806,859,1016,1137,1153,1275
"47","20200324_ALBANY (GA)",20200324,"ALBANY (GA)",152,10,97,55,6,4,76,68,64,26,9,8,8,8,1,1,1,1,NA,179,240,302,338,371,432,750,806,859,1016,1137,1153,1275,1718
"48","20200325_ALBANY (GA)",20200325,"ALBANY (GA)",179,10,152,27,10,0,97,76,68,64,26,9,8,8,8,1,1,1,1,240,302,338,371,432,750,806,859,1016,1137,1153,1275,1718,1808
"49","20200326_ALBANY (GA)",20200326,"ALBANY (GA)",240,10,179,61,10,0,152,97,76,68,64,26,9,8,8,8,1,1,1,302,338,371,432,750,806,859,1016,1137,1153,1275,1718,1808,1896
"50","20200327_ALBANY (GA)",20200327,"ALBANY (GA)",302,17,240,62,10,7,179,152,97,76,68,64,26,9,8,8,8,1,1,338,371,432,750,806,859,1016,1137,1153,1275,1718,1808,1896,1981
"51","20200328_ALBANY (GA)",20200328,"ALBANY (GA)",338,27,302,36,17,10,240,179,152,97,76,68,64,26,9,8,8,8,1,371,432,750,806,859,1016,1137,1153,1275,1718,1808,1896,1981,2045
"52","20200329_ALBANY (GA)",20200329,"ALBANY (GA)",371,27,338,33,27,0,302,240,179,152,97,76,68,64,26,9,8,8,8,432,750,806,859,1016,1137,1153,1275,1718,1808,1896,1981,2045,2159
"53","20200330_ALBANY (GA)",20200330,"ALBANY (GA)",432,29,371,61,27,2,338,302,240,179,152,97,76,68,64,26,9,8,8,750,806,859,1016,1137,1153,1275,1718,1808,1896,1981,2045,2159,2302
"54","20200331_ALBANY (GA)",20200331,"ALBANY (GA)",750,39,432,318,29,10,371,338,302,240,179,152,97,76,68,64,26,9,8,806,859,1016,1137,1153,1275,1718,1808,1896,1981,2045,2159,2302,2408
"55","20200401_ALBANY (GA)",20200401,"ALBANY (GA)",806,43,750,56,39,4,432,371,338,302,240,179,152,97,76,68,64,26,9,859,1016,1137,1153,1275,1718,1808,1896,1981,2045,2159,2302,2408,2495
"56","20200402_ALBANY (GA)",20200402,"ALBANY (GA)",859,45,806,53,43,2,750,432,371,338,302,240,179,152,97,76,68,64,26,1016,1137,1153,1275,1718,1808,1896,1981,2045,2159,2302,2408,2495,2603
"57","20200403_ALBANY (GA)",20200403,"ALBANY (GA)",1016,47,859,157,45,2,806,750,432,371,338,302,240,179,152,97,76,68,64,1137,1153,1275,1718,1808,1896,1981,2045,2159,2302,2408,2495,2603,2675
"58","20200404_ALBANY (GA)",20200404,"ALBANY (GA)",1137,47,1016,121,47,0,859,806,750,432,371,338,302,240,179,152,97,76,68,1153,1275,1718,1808,1896,1981,2045,2159,2302,2408,2495,2603,2675,2729
"59","20200405_ALBANY (GA)",20200405,"ALBANY (GA)",1153,50,1137,16,47,3,1016,859,806,750,432,371,338,302,240,179,152,97,76,1275,1718,1808,1896,1981,2045,2159,2302,2408,2495,2603,2675,2729,2775
"60","20200406_ALBANY (GA)",20200406,"ALBANY (GA)",1275,85,1153,122,50,35,1137,1016,859,806,750,432,371,338,302,240,179,152,97,1718,1808,1896,1981,2045,2159,2302,2408,2495,2603,2675,2729,2775,2843
"61","20200407_ALBANY (GA)",20200407,"ALBANY (GA)",1718,105,1275,443,85,20,1153,1137,1016,859,806,750,432,371,338,302,240,179,152,1808,1896,1981,2045,2159,2302,2408,2495,2603,2675,2729,2775,2843,2954
"62","20200408_ALBANY (GA)",20200408,"ALBANY (GA)",1808,112,1718,90,105,7,1275,1153,1137,1016,859,806,750,432,371,338,302,240,179,1896,1981,2045,2159,2302,2408,2495,2603,2675,2729,2775,2843,2954,NA
"63","20200409_ALBANY (GA)",20200409,"ALBANY (GA)",1896,120,1808,88,112,8,1718,1275,1153,1137,1016,859,806,750,432,371,338,302,240,1981,2045,2159,2302,2408,2495,2603,2675,2729,2775,2843,2954,NA,NA
"64","20200410_ALBANY (GA)",20200410,"ALBANY (GA)",1981,122,1896,85,120,2,1808,1718,1275,1153,1137,1016,859,806,750,432,371,338,302,2045,2159,2302,2408,2495,2603,2675,2729,2775,2843,2954,NA,NA,NA
"65","20200411_ALBANY (GA)",20200411,"ALBANY (GA)",2045,126,1981,64,122,4,1896,1808,1718,1275,1153,1137,1016,859,806,750,432,371,338,2159,2302,2408,2495,2603,2675,2729,2775,2843,2954,NA,NA,NA,NA
"66","20200412_ALBANY (GA)",20200412,"ALBANY (GA)",2159,128,2045,114,126,2,1981,1896,1808,1718,1275,1153,1137,1016,859,806,750,432,371,2302,2408,2495,2603,2675,2729,2775,2843,2954,NA,NA,NA,NA,NA
"67","20200413_ALBANY (GA)",20200413,"ALBANY (GA)",2302,138,2159,143,128,10,2045,1981,1896,1808,1718,1275,1153,1137,1016,859,806,750,432,2408,2495,2603,2675,2729,2775,2843,2954,NA,NA,NA,NA,NA,NA
"68","20200414_ALBANY (GA)",20200414,"ALBANY (GA)",2408,142,2302,106,138,4,2159,2045,1981,1896,1808,1718,1275,1153,1137,1016,859,806,750,2495,2603,2675,2729,2775,2843,2954,NA,NA,NA,NA,NA,NA,NA
"69","20200415_ALBANY (GA)",20200415,"ALBANY (GA)",2495,150,2408,87,142,8,2302,2159,2045,1981,1896,1808,1718,1275,1153,1137,1016,859,806,2603,2675,2729,2775,2843,2954,NA,NA,NA,NA,NA,NA,NA,NA
"70","20200416_ALBANY (GA)",20200416,"ALBANY (GA)",2603,160,2495,108,150,10,2408,2302,2159,2045,1981,1896,1808,1718,1275,1153,1137,1016,859,2675,2729,2775,2843,2954,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","20200417_ALBANY (GA)",20200417,"ALBANY (GA)",2675,167,2603,72,160,7,2495,2408,2302,2159,2045,1981,1896,1808,1718,1275,1153,1137,1016,2729,2775,2843,2954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","20200418_ALBANY (GA)",20200418,"ALBANY (GA)",2729,168,2675,54,167,1,2603,2495,2408,2302,2159,2045,1981,1896,1808,1718,1275,1153,1137,2775,2843,2954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","20200419_ALBANY (GA)",20200419,"ALBANY (GA)",2775,167,2729,46,168,-1,2675,2603,2495,2408,2302,2159,2045,1981,1896,1808,1718,1275,1153,2843,2954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","20200420_ALBANY (GA)",20200420,"ALBANY (GA)",2843,186,2775,68,167,19,2729,2675,2603,2495,2408,2302,2159,2045,1981,1896,1808,1718,1275,2954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","20200421_ALBANY (GA)",20200421,"ALBANY (GA)",2954,195,2843,111,186,9,2775,2729,2675,2603,2495,2408,2302,2159,2045,1981,1896,1808,1718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","20200307_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200307,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,10,12,15,16,19,30,38,58,94,111,149,213
"77","20200308_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200308,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",4,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,12,15,16,19,30,38,58,94,111,149,213,272
"78","20200309_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200309,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",8,0,4,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,15,16,19,30,38,58,94,111,149,213,272,309
"79","20200310_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200310,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",10,0,8,2,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15,16,19,30,38,58,94,111,149,213,272,309,355
"80","20200311_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200311,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",12,0,10,2,0,0,8,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,16,19,30,38,58,94,111,149,213,272,309,355,415
"81","20200312_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200312,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",15,0,12,3,0,0,10,8,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,19,30,38,58,94,111,149,213,272,309,355,415,456
"82","20200313_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200313,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",16,0,15,1,0,0,12,10,8,4,4,NA,NA,NA,NA,NA,NA,NA,NA,19,30,38,58,94,111,149,213,272,309,355,415,456,539
"83","20200314_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200314,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",19,0,16,3,0,0,15,12,10,8,4,4,NA,NA,NA,NA,NA,NA,NA,30,38,58,94,111,149,213,272,309,355,415,456,539,596
"84","20200315_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200315,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",30,0,19,11,0,0,16,15,12,10,8,4,4,NA,NA,NA,NA,NA,NA,38,58,94,111,149,213,272,309,355,415,456,539,596,658
"85","20200316_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200316,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",38,0,30,8,0,0,19,16,15,12,10,8,4,4,NA,NA,NA,NA,NA,58,94,111,149,213,272,309,355,415,456,539,596,658,697
"86","20200317_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200317,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",58,0,38,20,0,0,30,19,16,15,12,10,8,4,4,NA,NA,NA,NA,94,111,149,213,272,309,355,415,456,539,596,658,697,759
"87","20200318_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200318,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",94,0,58,36,0,0,38,30,19,16,15,12,10,8,4,4,NA,NA,NA,111,149,213,272,309,355,415,456,539,596,658,697,759,822
"88","20200319_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200319,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",111,0,94,17,0,0,58,38,30,19,16,15,12,10,8,4,4,NA,NA,149,213,272,309,355,415,456,539,596,658,697,759,822,901
"89","20200320_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200320,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",149,0,111,38,0,0,94,58,38,30,19,16,15,12,10,8,4,4,NA,213,272,309,355,415,456,539,596,658,697,759,822,901,948
"90","20200321_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200321,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",213,0,149,64,0,0,111,94,58,38,30,19,16,15,12,10,8,4,4,272,309,355,415,456,539,596,658,697,759,822,901,948,1060
"91","20200322_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200322,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",272,1,213,59,0,1,149,111,94,58,38,30,19,16,15,12,10,8,4,309,355,415,456,539,596,658,697,759,822,901,948,1060,1105
"92","20200323_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200323,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",309,1,272,37,1,0,213,149,111,94,58,38,30,19,16,15,12,10,8,355,415,456,539,596,658,697,759,822,901,948,1060,1105,1160
"93","20200324_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200324,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",355,2,309,46,1,1,272,213,149,111,94,58,38,30,19,16,15,12,10,415,456,539,596,658,697,759,822,901,948,1060,1105,1160,1228
"94","20200325_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200325,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",415,2,355,60,2,0,309,272,213,149,111,94,58,38,30,19,16,15,12,456,539,596,658,697,759,822,901,948,1060,1105,1160,1228,1254
"95","20200326_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200326,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",456,2,415,41,2,0,355,309,272,213,149,111,94,58,38,30,19,16,15,539,596,658,697,759,822,901,948,1060,1105,1160,1228,1254,1353
"96","20200327_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200327,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",539,4,456,83,2,2,415,355,309,272,213,149,111,94,58,38,30,19,16,596,658,697,759,822,901,948,1060,1105,1160,1228,1254,1353,1489
"97","20200328_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200328,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",596,5,539,57,4,1,456,415,355,309,272,213,149,111,94,58,38,30,19,658,697,759,822,901,948,1060,1105,1160,1228,1254,1353,1489,1544
"98","20200329_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200329,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",658,8,596,62,5,3,539,456,415,355,309,272,213,149,111,94,58,38,30,697,759,822,901,948,1060,1105,1160,1228,1254,1353,1489,1544,1627
"99","20200330_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200330,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",697,8,658,39,8,0,596,539,456,415,355,309,272,213,149,111,94,58,38,759,822,901,948,1060,1105,1160,1228,1254,1353,1489,1544,1627,1679
"100","20200331_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200331,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",759,9,697,62,8,1,658,596,539,456,415,355,309,272,213,149,111,94,58,822,901,948,1060,1105,1160,1228,1254,1353,1489,1544,1627,1679,1850
"101","20200401_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200401,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",822,10,759,63,9,1,697,658,596,539,456,415,355,309,272,213,149,111,94,901,948,1060,1105,1160,1228,1254,1353,1489,1544,1627,1679,1850,1905
"102","20200402_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200402,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",901,18,822,79,10,8,759,697,658,596,539,456,415,355,309,272,213,149,111,948,1060,1105,1160,1228,1254,1353,1489,1544,1627,1679,1850,1905,1989
"103","20200403_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200403,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",948,20,901,47,18,2,822,759,697,658,596,539,456,415,355,309,272,213,149,1060,1105,1160,1228,1254,1353,1489,1544,1627,1679,1850,1905,1989,2071
"104","20200404_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200404,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1060,30,948,112,20,10,901,822,759,697,658,596,539,456,415,355,309,272,213,1105,1160,1228,1254,1353,1489,1544,1627,1679,1850,1905,1989,2071,2154
"105","20200405_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200405,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1105,36,1060,45,30,6,948,901,822,759,697,658,596,539,456,415,355,309,272,1160,1228,1254,1353,1489,1544,1627,1679,1850,1905,1989,2071,2154,2234
"106","20200406_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200406,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1160,37,1105,55,36,1,1060,948,901,822,759,697,658,596,539,456,415,355,309,1228,1254,1353,1489,1544,1627,1679,1850,1905,1989,2071,2154,2234,2259
