"","Category","Total Cases","Total Deaths"
"112","20200212_MADISON (WI)",1,0
"113","20200212_PHOENIX (AZ)",1,0
"114","20200212_SAN ANTONIO (TX)",1,0
"115","20200212_SAN DIEGO (CA)",1,0
"116","20200212_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"117","20200212_SEATTLE (WA) - TACOMA (WA)",1,0
"118","20200213_BOSTON (MA) - MANCHESTER (NH)",1,0
"119","20200213_CHICAGO (IL)",2,0
"120","20200213_LOS ANGELES (CA)",2,0
"121","20200213_MADISON (WI)",1,0
"122","20200213_PHOENIX (AZ)",1,0
"123","20200213_SAN ANTONIO (TX)",2,0
"124","20200213_SAN DIEGO (CA)",1,0
"125","20200213_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"126","20200213_SEATTLE (WA) - TACOMA (WA)",1,0
"127","20200214_BOSTON (MA) - MANCHESTER (NH)",1,0
"128","20200214_CHICAGO (IL)",2,0
"129","20200214_LOS ANGELES (CA)",2,0
"130","20200214_MADISON (WI)",1,0
"131","20200214_PHOENIX (AZ)",1,0
"132","20200214_SAN ANTONIO (TX)",2,0
"133","20200214_SAN DIEGO (CA)",1,0
"134","20200214_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"135","20200214_SEATTLE (WA) - TACOMA (WA)",1,0
"136","20200215_BOSTON (MA) - MANCHESTER (NH)",1,0
"137","20200215_CHICAGO (IL)",2,0
"138","20200215_LOS ANGELES (CA)",2,0
"139","20200215_MADISON (WI)",1,0
"140","20200215_PHOENIX (AZ)",1,0
"141","20200215_SAN ANTONIO (TX)",2,0
"142","20200215_SAN DIEGO (CA)",1,0
"143","20200215_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"144","20200215_SEATTLE (WA) - TACOMA (WA)",1,0
"145","20200216_BOSTON (MA) - MANCHESTER (NH)",1,0
"146","20200216_CHICAGO (IL)",2,0
"147","20200216_LOS ANGELES (CA)",2,0
"148","20200216_MADISON (WI)",1,0
"149","20200216_PHOENIX (AZ)",1,0
"150","20200216_SAN ANTONIO (TX)",2,0
"151","20200216_SAN DIEGO (CA)",1,0
"152","20200216_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"153","20200216_SEATTLE (WA) - TACOMA (WA)",1,0
"154","20200217_BOSTON (MA) - MANCHESTER (NH)",1,0
"155","20200217_CHICAGO (IL)",2,0
"156","20200217_LOS ANGELES (CA)",2,0
"157","20200217_MADISON (WI)",1,0
"158","20200217_OMAHA (NE)",10,0
"159","20200217_PHOENIX (AZ)",1,0
"160","20200217_SAN ANTONIO (TX)",2,0
"161","20200217_SAN DIEGO (CA)",1,0
"162","20200217_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"163","20200217_SEATTLE (WA) - TACOMA (WA)",1,0
"164","20200218_BOSTON (MA) - MANCHESTER (NH)",1,0
"165","20200218_CHICAGO (IL)",2,0
"166","20200218_LOS ANGELES (CA)",2,0
"167","20200218_MADISON (WI)",1,0
"168","20200218_OMAHA (NE)",10,0
"169","20200218_PHOENIX (AZ)",1,0
"170","20200218_SAN ANTONIO (TX)",2,0
"171","20200218_SAN DIEGO (CA)",1,0
"172","20200218_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"173","20200218_SEATTLE (WA) - TACOMA (WA)",1,0
"174","20200219_BOSTON (MA) - MANCHESTER (NH)",1,0
"175","20200219_CHICAGO (IL)",2,0
"176","20200219_LOS ANGELES (CA)",2,0
"177","20200219_MADISON (WI)",1,0
"178","20200219_OMAHA (NE)",10,0
"179","20200219_PHOENIX (AZ)",1,0
"180","20200219_SAN ANTONIO (TX)",2,0
"181","20200219_SAN DIEGO (CA)",1,0
"182","20200219_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"183","20200219_SEATTLE (WA) - TACOMA (WA)",1,0
"184","20200220_BOSTON (MA) - MANCHESTER (NH)",1,0
"185","20200220_CHICAGO (IL)",2,0
"186","20200220_EUREKA (CA)",1,0
"187","20200220_LOS ANGELES (CA)",2,0
"188","20200220_MADISON (WI)",1,0
"189","20200220_OMAHA (NE)",11,0
"190","20200220_PHOENIX (AZ)",1,0
"191","20200220_SAN ANTONIO (TX)",2,0
"192","20200220_SAN DIEGO (CA)",1,0
"193","20200220_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"194","20200220_SEATTLE (WA) - TACOMA (WA)",1,0
"195","20200221_BOSTON (MA) - MANCHESTER (NH)",1,0
"196","20200221_CHICAGO (IL)",2,0
"197","20200221_EUREKA (CA)",1,0
"198","20200221_LOS ANGELES (CA)",2,0
"199","20200221_MADISON (WI)",1,0
"200","20200221_OMAHA (NE)",11,0
"201","20200221_PHOENIX (AZ)",1,0
"202","20200221_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",1,0
"203","20200221_SAN ANTONIO (TX)",4,0
"204","20200221_SAN DIEGO (CA)",1,0
"205","20200221_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"206","20200221_SEATTLE (WA) - TACOMA (WA)",1,0
"207","20200222_BOSTON (MA) - MANCHESTER (NH)",1,0
"208","20200222_CHICAGO (IL)",2,0
"209","20200222_EUREKA (CA)",1,0
"210","20200222_LOS ANGELES (CA)",2,0
"211","20200222_MADISON (WI)",1,0
"212","20200222_OMAHA (NE)",11,0
"213","20200222_PHOENIX (AZ)",1,0
"214","20200222_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",1,0
"215","20200222_SAN ANTONIO (TX)",4,0
"216","20200222_SAN DIEGO (CA)",1,0
"217","20200222_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"218","20200222_SEATTLE (WA) - TACOMA (WA)",1,0
"219","20200223_BOSTON (MA) - MANCHESTER (NH)",1,0
"220","20200223_CHICAGO (IL)",2,0
"221","20200223_EUREKA (CA)",1,0
"222","20200223_LOS ANGELES (CA)",2,0
"223","20200223_MADISON (WI)",1,0
"224","20200223_OMAHA (NE)",11,0
"225","20200223_PHOENIX (AZ)",1,0
"226","20200223_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",1,0
"227","20200223_SAN ANTONIO (TX)",4,0
"228","20200223_SAN DIEGO (CA)",1,0
"229","20200223_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"230","20200223_SEATTLE (WA) - TACOMA (WA)",1,0
"231","20200224_BOSTON (MA) - MANCHESTER (NH)",1,0
"232","20200224_CHICAGO (IL)",2,0
"233","20200224_EUREKA (CA)",1,0
"234","20200224_LOS ANGELES (CA)",2,0
"235","20200224_MADISON (WI)",1,0
"236","20200224_OMAHA (NE)",12,0
"237","20200224_PHOENIX (AZ)",1,0
"238","20200224_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",2,0
"239","20200224_SAN ANTONIO (TX)",10,0
"240","20200224_SAN DIEGO (CA)",1,0
"241","20200224_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",5,0
"242","20200224_SEATTLE (WA) - TACOMA (WA)",1,0
"243","20200224_SPOKANE (WA)",4,0
"244","20200225_BOSTON (MA) - MANCHESTER (NH)",1,0
"245","20200225_CHICAGO (IL)",2,0
"246","20200225_EUREKA (CA)",1,0
"247","20200225_LOS ANGELES (CA)",2,0
"248","20200225_MADISON (WI)",1,0
"249","20200225_OMAHA (NE)",13,0
"250","20200225_PHOENIX (AZ)",1,0
"251","20200225_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",2,0
"252","20200225_SALT LAKE CITY (UT)",1,0
"253","20200225_SAN ANTONIO (TX)",10,0
"254","20200225_SAN DIEGO (CA)",1,0
"255","20200225_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",5,0
"256","20200225_SEATTLE (WA) - TACOMA (WA)",1,0
"257","20200225_SPOKANE (WA)",4,0
"258","20200226_BOSTON (MA) - MANCHESTER (NH)",1,0
